id,product_attribute_id,value
1,1,22
2,2,1920x1080
3,3,"Intel Core i5-3450, 3.10 ГГц, 4-ядерный"
4,4,SSD 512 ГБ
5,5,Intel HD 2500
6,6,"Bluetooth, Wi-FI"
7,7,8 ГБ
8,1,22
9,2,1920x1080
10,3,"Intel Core i5-3470 (3.2 ГГц), 3.20 ГГц, 4-ядерный"
11,4,SSD 250 ГБ
12,5,"	
Intel HD Graphics"
13,6,"Bluetooth, Wi-FI"
14,7,8 ГБ
15,1,24
16,2,4880x2520
17,3,M1
18,5,SSD 256 ГБ
19,6,"Bluetooth, NFC, Wi-FI"
20,7,8 ГБ
21,1,27
22,2,1920x1080
23,3,"AMD Ryzen 3 5425U, 2.70 ГГц, 4-ядерный"
24,4,SSD 256 ГБ
25,5,AMD Radeon Graphics
26,6,"Bluetooth, Wi-FI"
27,7,8 ГБ
28,1,21.5
29,2,1920x1080
30,3,"AMD Ryzen 3 5300U, 2.60 ГГц, 4-ядерный"
31,4,SSD 256 ГБ
32,5,AMD Radeon RX Vega 6
33,6,"Bluetooth, Wi-FI"
34,7,8 ГБ
35,8,12288 МБ
36,9,GDDR6
37,10,15000 МГц
38,11,192 бит
39,13,"выход DisplayPort, выход DisplayPort x 2, выход HDMI, выход HDMI x 2, интерфейс USB Type-C"
40,16,8 нм
41,14,7680x4320
42,8,8096 МБ
43,9,GDDR6
44,11,128 бит
45,13,"выход DisplayPort x 2, выход HDMI x 2"
46,15,PCI Express 4.0
47,14,7680x4320
48,8,24576 МБ
49,9,GDDR6X
50,10,2640 МГц
51,11,384 бит
52,12,2235 МГц
53,13,"выход DisplayPort x 3, выход HDMI"
54,14,7680x4320
55,8,10240 МБ
56,9,GDDR6X
57,10,19000 МГц
58,11,320 бит
59,12,1905 МГц
60,13,"выход DisplayPort x 3, выход HDMI"
61,14,7680x4320
62,17,LGA1700
63,18,16
64,19,3400-5400 МГц
65,20,2 МБ/30 МБ
66,21,"2 x DDR4, DDR5"
67,22,253 Вт
68,23,10 нм
69,24,Raptor Lake-S
70,17,LGA1700
71,18,12
72,19,3600-5000 МГц
73,20,12 МБ/25 МБ
74,21,"2 x DDR4, DDR5"
75,22,190 Вт
76,23,10 нм
77,24,Alder Lake-S
78,17,LGA1700
79,18,14
80,19,3500-5100 МГц
81,20,20 МБ/24 МБ
82,21,"2 x DDR4, DDR5"
83,22,181 Вт
84,23,10 нм
85,24,Raptor Lake-S
86,17,AM5
87,18,8
88,19,4500-5400 МГц
89,20,8 МБ/32 МБ
90,21,2 x DDR5
91,22,105 Вт
92,23,5 нм
93,24,Raphael
94,17,AM5
95,18,12
96,19,4700-5600 МГц
97,20,12 МБ/64 МБ
98,21,2 x DDR5
99,22,170 Вт
100,23,5 нм
101,24,Raphael
102,17,AM5
103,18,12
104,19,3700-4800 МГц
105,20,12 МБ/64 МБ
106,21,2 x DDR4
107,22,105 Вт
108,23,7 нм
109,24,Vermeer
110,25,AM5
111,26,ATX
112,27,AMD X670
113,28,DDR5 DIMM
114,29,5600 МГц
115,30,5
116,31,"Bluetooth, Wi-Fi 802.11ax"
117,32,"DisplayPort, HDMI, LAN RJ-45, SMA (для антенны Wi-Fi) x 2, USB 3.2 Gen1 Type-A x 5, USB 3.2 Gen2 Type-A x 3, USB 3.2 Gen2 Type-C, USB 3.2 Gen2x2 Type-C"
118,25,LGA1700
119,26,microATX
120,27,Intel Z790
121,28,DDR4 DIMM
122,29,5333 МГц
123,30,"4.0, 5.0"
124,31,без Wi-Fi
125,32,"DisplayPort, HDMI, LAN RJ-45, USB 2.0 Type-A x 2, USB 3.2 Gen1 Type-A x 4, USB 3.2 Gen2 Type-A, USB 3.2 Gen2x2 Type-C"
126,25,LGA1700
127,26,ATX
128,27,Intel Z690
129,28,DDR4 DIMM
130,29,5333 МГц
131,30,"3.0, 4.0, 5.0"
132,31,"Bluetooth, Wi-Fi 802.11ax"
133,32,"DisplayPort, HDMI"
134,25,AM5
135,26,ATX
136,27,AMD X670
137,28,DDR5 DIMM
138,29,6600 МГц
139,30,"4.0, 5.0"
140,31,"Bluetooth, Wi-Fi 802.11a/b/g, Wi-Fi 802.11ac, Wi-Fi 802.11ax, Wi-Fi 802.11n"
141,32,"DisplayPort, HDMI, LAN RJ-45, USB 3.2 Gen2 Type-A x 6, USB 3.2 Gen2 Type-C, USB 3.2 Gen2x2 Type-C"
142,33,128 ГБ
143,34,purple
144,35,6.1
145,36,3200 мА·ч
146,37,Apple A16 Bionic
147,38,iOS
148,39,"2G, 3G, 4G LTE, 5G"
149,40,206 г
150,33,256 ГБ
151,34,purple
152,35,6.1
153,36,3200 мА·ч
154,37,Apple A16 Bionic
155,38,iOS
156,39,"2G, 3G, 4G LTE, 5G"
157,40,206 г
158,33,128 ГБ
159,34,white
160,35,6.1
161,36,3200 мА·ч
162,37,Apple A16 Bionic
163,38,iOS
164,39,"2G, 3G, 4G LTE, 5G"
165,40,206 г
166,33,256 ГБ
167,34,white
168,35,6.1
169,36,3200 мА·ч
170,37,Apple A16 Bionic
171,38,iOS
172,39,"2G, 3G, 4G LTE, 5G"
173,40,206 г
174,33,128 ГБ
175,34,gold
176,35,6.7
177,36,4323 мА·ч
178,37,Apple A16 Bionic
179,38,iOS
180,39,"2G, 3G, 4G LTE, 5G"
181,40,240 г
182,33,256 ГБ
183,34,gold
184,35,6.7
185,36,4323 мА·ч
186,37,Apple A16 Bionic
187,38,iOS
188,39,"2G, 3G, 4G LTE, 5G"
189,40,240 г
190,33,128 ГБ
191,34,white
192,35,6.7
193,36,4323 мА·ч
194,37,Apple A16 Bionic
195,38,iOS
196,39,"2G, 3G, 4G LTE, 5G"
197,40,240 г
198,33,256 ГБ
199,34,white
200,35,6.7
201,36,4323 мА·ч
202,37,Apple A16 Bionic
203,38,iOS
204,39,"2G, 3G, 4G LTE, 5G"
205,40,240 г
206,33,128 ГБ
207,34,green
208,35,6.8
209,36,5000 мА·ч
210,37,Qualcomm Snapdragon 8 Gen2
211,38,Android
212,39,"4G LTE, 5G"
213,40,234 г
214,33,256 ГБ
215,34,green
216,35,6.8
217,36,5000 мА·ч
218,37,Qualcomm Snapdragon 8 Gen2
219,38,Android
220,39,"4G LTE, 5G"
221,40,234 г
222,33,128 ГБ
223,34,white
224,35,6.8
225,36,5000 мА·ч
226,37,Qualcomm Snapdragon 8 Gen2
227,38,Android
228,39,"4G LTE, 5G"
229,40,234 г
230,33,256 ГБ
231,34,white
232,35,6.8
233,36,5000 мА·ч
234,37,Qualcomm Snapdragon 8 Gen2
235,38,Android
236,39,"4G LTE, 5G"
237,40,234 г
238,33,64 ГБ
239,34,blue
240,35,6.5
241,36,5000 мА·ч
242,37,MediaTek Helio G25
243,38,Android
244,39,"2G, 3G, 4G LTE"
245,40,194 г
246,33,128 ГБ
247,34,blue
248,35,6.5
249,36,5000 мА·ч
250,37,MediaTek Helio G25
251,38,Android
252,39,"2G, 3G, 4G LTE"
253,40,194 г
254,33,64 ГБ
255,34,white
256,35,6.5
257,36,5000 мА·ч
258,37,MediaTek Helio G25
259,38,Android
260,39,"2G, 3G, 4G LTE"
261,40,194 г
262,33,128 ГБ
263,34,white
264,35,6.5
265,36,5000 мА·ч
266,37,MediaTek Helio G25
267,38,Android
268,39,"2G, 3G, 4G LTE"
269,40,194 г
