id,product_attribute_id,value,value_number,argument_value
1,1,AMD,0,brand:AMD
2,1,AMD,0,brand:AMD
3,1,AMD,0,brand:AMD
4,1,AMD,0,brand:AMD
5,1,AMD,0,brand:AMD
6,1,Intel,0,brand:Intel
7,1,Intel,0,brand:Intel
8,2,Asus,0,brand:Asus
9,2,Gygabite,0,brand:Gygabite
10,3,AMD,0,brand:AMD
11,3,AMD,0,brand:AMD
12,3,AMD,0,brand:AMD
13,3,Intel,0,brand:Intel
14,3,Intel,0,brand:Intel
15,4,Asus,0,brand:Asus
16,4,Gygabite,0,brand:Gygabite
17,5,Sala,0,brand:Sala
18,5,Respect,0,brand:Respect
19,6,Nike,0,brand:Nike
20,6,Adidas,0,brand:Adidas
21,7,GloriaJeans,0,brand:GloriaJeans
22,7,Levi's,0,brand:Levi's
23,7,Levi's,0,brand:Levi's
24,7,Levi's,0,brand:Levi's
25,8,Lacoste,0,brand:Lacoste
26,8,Hugo Boss,0,brand:Hugo Boss
27,9,4,4,threads:4
28,9,6,6,threads:6
29,9,12,12,threads:12
30,9,14,14,threads:14
31,9,24,24,threads:24
32,9,12,12,threads:12
33,9,20,20,threads:20
34,10,4,4,threads:4
35,10,6,6,threads:6
36,10,24,24,threads:24
37,10,12,12,threads:12
38,10,20,20,threads:20
39,11,42,42,size:42
40,11,42,42,size:42
41,12,42,42,size:42
42,12,42,42,size:42
43,13,31,31,size:31
44,13,31,31,size:31
45,13,32,32,size:32
46,13,33,33,size:33
47,14,M,0,size:M
48,14,L,0,size:L
49,15,4400,4400,frequency:4400
50,15,4400,4400,frequency:4400
51,15,4800,4800,frequency:4800
52,15,4800,4800,frequency:4800
53,15,4800,4800,frequency:4800
54,15,5400,5400,frequency:5400
55,15,5400,5400,frequency:5400
56,16,4400,4400,frequency:4400
57,16,4400,4400,frequency:4400
58,16,4800,4800,frequency:4800
59,16,5400,5400,frequency:5400
60,16,5400,5400,frequency:5400
