id,product_item_id,product_attribute_value_id
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,11,11
12,12,12
13,13,13
14,14,14
15,15,15
16,16,16
17,17,17
18,18,18
19,19,19
20,20,20
21,21,21
22,22,22
23,23,23
24,24,24
25,25,25
26,26,26
27,1,27
28,2,28
29,3,29
30,4,30
31,5,31
32,6,32
33,7,33
34,10,34
35,11,35
36,12,36
37,13,37
38,14,38
39,17,39
40,18,40
41,19,41
42,20,42
43,21,43
44,22,44
45,23,45
46,24,46
47,25,47
48,26,48
49,1,49
50,2,50
51,3,51
52,4,52
53,5,53
54,6,54
55,7,55
56,10,56
57,11,57
58,12,58
59,13,59
60,14,60
